小毛冬瓜,1.00,1.25,1.50,\圆鲁新,斤,2021-05-12
架豆,2.00,2.50,3.00,普通,斤,2021-05-12
豆王,3.00,3.50,4.00,普通,斤,2021-05-12
扁豆,2.50,2.75,3.00,冀\鲁聊城,斤,2021-05-12
豇豆,3.00,3.50,4.00,桂\京冀,斤,2021-05-12
白不老,2.50,2.75,3.00,滇|鲁,斤,2021-05-12
锅里变架豆,1.50,1.75,2.00,普通,斤,2021-05-12
油豆,2.00,3.50,5.00,鲁,斤,2021-05-12
毛豆,2.50,2.75,3.00,普通,斤,2021-05-12
豌豆,1.20,1.30,1.40,普通,斤,2021-05-12
蚕豆,1.10,1.20,1.30,普通,斤,2021-05-12
荷兰豆,4.60,4.95,5.30,冀\云,斤,2021-05-12
玉米,1.20,1.40,1.60,\白,斤,2021-05-12
花生,4.50,5.00,5.50,广东\海南,斤,2021-05-12
苦瓜,2.50,2.70,2.90,鲁,斤,2021-05-12
丝瓜,1.40,2.20,3.00,豫\鲁,斤,2021-05-12
丝瓜,2.50,3.65,4.80,短,斤,2021-05-12
瓠子,1.50,1.65,1.80,普通,斤,2021-05-12
西葫芦,0.60,0.70,0.80,滇/鲁,斤,2021-05-12
佛手瓜,2.30,2.45,2.60,普通,斤,2021-05-12
